Location,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Afghanistan,11.976318967004262,12.13520335871467,12.302221944998893,12.469964392203249,12.641306122323256,12.824627750671494,13.020720133806462,13.227149096867992,13.435169013824204,13.659824640841771,13.915138088021488,14.190882124639607,14.484004213794632,14.792154887755354,15.115321825484832,15.456753930410784,15.81157900248885,16.180538614129766,16.567053393213573,16.968237906902246,17.388259745940218,17.815707319928045,18.256228284172398,18.724895117173062,19.20407102461743,19.673544885537567,20.11386332273724,20.54649420295212,20.96338341834849,21.031343177841848,20.28244668071265,18.385422057120326,16.928146792834085,16.815107439442105,17.234391556393387,17.598833197801927,17.588393429191,17.538716548384713,17.74737253887287,18.287634607328556,18.551877726029424,18.849460030556173,20.451340374805945,23.01442177373648,25.02832991424558,26.283598697666395,27.357732066730737,28.418612620438136,29.50887653704936,30.62976593110076,31.00331281880683,31.24046197728001,32.92507115398832,35.011842056627486,36.28646025849535,37.58619643429191,39.156400932702496,39.90453044528228,40.78667048618812,42.301354852024346,43.56116239742737,45.19927429092432,47.06641346935759,48.7030630097829,50.50473589857322,52.10530097212981,53.44344027993396,54.96558503363643,56.58904259382469,58.30333314851778,60.17129167590745,61.60581922574604,62.49667640028585,63.845705194549176,65.68266553313127
Africa,7.707906291575878,7.869679084958146,8.038288277409405,8.212412120553928,8.392465084145314,8.579667887864865,8.773691202871785,8.971898334212499,9.171995688568945,9.3828129640276,9.607859346859568,9.841076160980196,10.08289173353728,10.33369237957876,10.593898287782816,10.863021031533798,11.141818503698824,11.43279745443609,11.735660956504171,12.048057212145403,12.37019880292349,12.70095657963012,13.038873350128233,13.39452176475194,13.768395038447254,14.15969042370479,14.567915940730886,14.97952607975939,15.415341939345984,15.877567691162428,16.346357617853478,16.839378289627664,17.358409797902652,17.875274256756022,18.396588241977906,18.93890470703236,19.49060256027722,20.05349490384576,20.62154153817891,21.19585315287928,21.785212121086374,22.371604067225288,22.96225422647733,23.57352518656529,24.178611078951224,24.794250519109543,25.42970515313211,26.069646858770717,26.7328067383623,27.412922417203514,28.106738710490472,28.821014101174622,29.55604731000629,30.311458586856887,31.091262396828824,31.89557206938037,32.72078119652242,33.57095359869178,34.45111583836395,35.35505278118308,36.28358153964958,37.22879815390483,38.19982593297725,39.21288234264824,40.242967087159705,41.28709910093043,42.34063221456952,43.41313874036516,44.51319087251831,45.616223410376776,46.726699043987566,47.84110704736911,48.96223957547237,50.10896429110871,51.27204885344482
Albania,45.54533177604205,46.586082925761005,47.75385064603256,49.03918169209431,50.40831447550916,51.786608511570186,53.17249434265275,54.673917804219286,56.35369370027009,58.2163296590992,60.20100007299803,62.0041791371633,63.64453609752537,65.38013723629462,67.21080005839842,69.14052120592744,71.1747025330316,73.30901890648953,75.51065771224177,77.62884152127893,79.61236221622016,81.57500547485218,83.55593473976202,85.55752244689393,87.57577195415723,89.59993430177386,91.63369589021096,93.67835243448428,95.79608000583984,97.86789181692096,99.83998832031536,101.8473246222352,103.90931819840864,106.03438207168406,108.21804511278197,110.45483246952332,112.69625520110957,114.92950215344186,117.26837725381417,119.00041973866706,119.6425286517264,119.81175633257902,119.80805168260456,119.63736404117088,119.33022483392948,118.93448426892472,118.4640484706913,117.87938900649682,117.16667274983575,116.3805934739762,115.5612635958829,114.89683553544054,114.39126943572523,113.80712095773414,113.09794510548215,112.27677202715526,111.3515037593985,110.33239652529382,109.23901379662748,108.09108329075114,106.89544857288853,106.26702679027666,106.21227826848676,106.12353091466532,105.98399518213007,105.79721147529015,105.76927147967004,105.78299510913206,105.63657931235856,105.30000364990146,104.82347251624206,104.00888751003724,103.20490546755238,102.6226366888094,101.89665304036792
Algeria,3.786486560245871,3.892055598008179,3.997584539034488,4.103153576796796,4.204649122070419,4.302494604784737,4.401060569163721,4.499861655764273,4.599007238405536,4.698087322713646,4.7968804319531095,4.882515933729122,4.954684600334209,5.03082536296993,5.1138298051004725,5.191992198980577,5.286080344621999,5.406180985330053,5.53066833491481,5.65803131324158,5.787247768438201,5.919594918001125,6.057366253243427,6.2018303845088045,6.353968947072309,6.582832718936576,6.88957232947341,7.1443539177240165,7.35049732548473,7.572889778061417,7.812428728576587,8.070026325291593,8.343626088489927,8.631553192204018,8.93127251505202,9.240531922040187,9.549950246458472,9.843065993769262,10.122656335284288,10.393445758143208,10.654315752349122,10.911320085315776,11.180299906790834,11.452571649298411,11.7087837043506,11.95352578367076,12.189846288847647,12.419197939321672,12.61856163980955,12.794995885361123,12.975342606665714,13.15476143491733,13.330940614844607,13.509374448932292,13.699348375557364,13.901286034579762,14.11720254939666,14.35480615012554,14.618287890365869,14.90105763013595,15.194032723974908,15.494292198140856,15.80616104192733,16.128616683601066,16.46066762115092,16.802643865409323,17.151629061106586,17.5037153509619,17.846211173343857,18.17769613811751,18.49156121155122,18.79344470849043,19.09418723286337,19.382560229076223,19.655507108248592
American Samoa,95.2125,97.1275,97.765,98.33,98.7975,99.2925,99.6825,99.79,99.6525,99.5425,100.6625,103.3275,106.49,109.8325,113.365,117.0275,120.6775,124.3175,128.07,131.8725,135.1275,137.665,139.9775,142.1825,144.375,146.9475,149.795,152.605,155.3775,158.055,162.01250000000002,167.9225,174.545,181.355,188.335,195.5175,202.855,210.36,218.075,225.955,233.2,239.41,245.1925,250.795,256.255,261.58,266.7675,271.81,276.6675,281.24,284.2725,285.2675,285.3075,284.8525,284.09,283.085,281.8725,280.565,279.14,277.64,276.1425,274.4775,272.445,270.03,267.33,264.39,261.2225,257.93,254.5425,251.045,248.8075,246.125,241.7075,237.605,233.825
Americas,8.62827520136214,8.808599440011271,8.995599455351387,9.188642011529549,9.388486893927007,9.594825437323694,9.80770821014026,10.02758127055675,10.252242438370187,10.485676520545258,10.728329960692044,10.977708769527716,11.23189964666087,11.48652056093226,11.741833245031312,11.995692087036575,12.24589666687557,12.492815404271523,12.737132129193371,12.981732826117684,13.235166847137856,13.495273818362088,13.749677761218848,13.99880492278436,14.248464658725217,14.49979728949668,14.75224116645107,15.008473692177432,15.268988718180212,15.533063832943933,15.80251719987957,16.074179132309112,16.347556999256557,16.624585428241932,16.902580310193578,17.17985766274353,17.455420095741335,17.73071782823845,18.008954773100037,18.289958784424588,18.58201953724293,18.88164012762462,19.1801917021076,19.47443084124808,19.761427403135077,20.044874539825447,20.324601711376165,20.601201503619095,20.87862224898991,21.15439389341097,21.42537033852243,21.693123432247276,21.95630834495341,22.215105162401077,22.471559785761546,22.72739066769561,22.9837086175655,23.24220815282681,23.50081315459349,23.75588488068204,24.00699529819039,24.25716256840195,24.5067005855376,24.754057839532575,24.99874902258155,25.239417459502672,25.479002889414804,25.71368625311617,25.93917099498173,26.155143554829955,26.323939529727564,26.4458259584508,26.59078128698121,26.769253187422883,26.948270509907747
Andorra,12.757446808510638,12.379787234042553,11.607446808510636,11.325531914893617,11.919148936170211,13.11808510638298,14.392553191489364,15.743617021276595,17.164893617021278,18.66063829787234,20.23404255319149,21.877659574468087,23.58723404255319,25.351063829787236,27.156382978723403,29.00851063829787,31.11914893617021,33.695744680851064,36.54468085106383,39.47872340425532,42.5031914893617,45.62021276595745,48.84468085106383,52.17659574468085,55.59468085106383,59.09255319148936,62.62872340425532,66.16382978723404,69.64893617021276,72.99148936170212,76.13085106382978,79.08191489361703,82.47765957446809,86.30744680851063,89.94255319148937,93.2436170212766,97.30744680851063,101.38936170212766,105.1404255319149,107.70106382978724,111.90851063829788,120.5691489361702,128.0840425531915,134.6212765957447,137.47340425531914,135.98297872340424,136.13617021276596,137.65851063829788,139.1095744680851,139.80744680851063,139.75531914893617,140.11063829787233,141.50212765957446,147.84148936170212,158.13829787234042,164.7244680851064,169.33085106382978,174.20744680851064,177.64787234042552,178.48510638297873,171.7148936170213,165.49574468085106,163.47659574468085,159.98617021276596,156.8872340425532,153.56063829787234,153.57765957446807,156.94148936170214,159.91914893617022,162.7095744680851,164.63829787234042,166.7308510638298,169.58510638297872,172.03404255319148,174.33510638297872
Angola,3.65113419427288,3.691795540226197,3.731200368974092,3.775053340819764,3.823467554343466,3.876445014839176,3.9338016363198847,3.995060559878078,4.059624608967675,4.126977219860431,4.196401700489291,4.252493382529879,4.294785834603353,4.338108606721746,4.382920510146787,4.429278094168605,4.476928290687415,4.52539263656052,4.574235581936312,4.623153124248015,4.69462420790888,4.805568300312826,4.952484559236384,5.12435068581054,5.3046980027272,5.488847758081334,5.674712841902623,5.869759765781664,6.07743121841662,6.294382770514157,6.524321408518489,6.766348760728323,7.019851207186973,7.285620036897409,7.560694232774525,7.844003769952675,8.133030801315472,8.420516162669447,8.712032565974171,9.014648271436592,9.325707467714768,9.644283708991738,9.965278334803882,10.288870217373868,10.627869174621,10.988832918905912,11.366786716932705,11.759374749338251,12.1595973369696,12.566964385978984,12.990188898692548,13.4332297264779,13.898852570786875,14.392967032967032,14.91972647790166,15.473779177027351,16.05460736343948,16.66684968316355,17.308618753509265,17.979284110050532,18.685188898692548,19.42596574957889,20.19523060880725,20.987904066736185,21.78613098580252,22.58586508382129,23.408253790005613,24.2518962059838,25.103998556188337,25.969064329830758,26.83174179834764,27.6990687414775,28.583483596695277,29.477746049570868,30.38890631266544
Anguilla,56.84090909090909,59.21022727272727,61.01136363636363,62.53409090909091,64.13636363636364,65.23863636363636,65.6875,65.86363636363636,65.8465909090909,65.64772727272727,65.69886363636364,66.16477272727273,66.76136363636364,67.3125,67.83522727272727,68.38068181818181,68.99431818181819,69.6590909090909,70.26136363636364,70.88636363636364,71.57386363636364,72.2159090909091,72.76136363636364,73.26136363636364,73.61931818181819,73.85227272727273,74.0965909090909,74.3465909090909,74.55681818181819,74.73295454545455,74.86363636363636,75.04545454545455,75.3125,75.5340909090909,76.61363636363636,79.0284090909091,82.0340909090909,85.17613636363636,88.4375,91.9318181818182,95.4431818181818,98.89204545454544,102.0681818181818,104.86363636363636,107.57954545454544,110.38636363636364,113.3806818181818,116.51704545454544,119.73295454545456,123.1931818181818,127.0056818181818,130.35795454545453,132.80113636363637,134.9375,137.1306818181818,139.39204545454547,141.69886363636363,144.04545454545453,146.4715909090909,149.01704545454547,151.64204545454547,154.19886363636363,152.0340909090909,150.5909090909091,156.0056818181818,161.4715909090909,162.73295454545453,163.92045454545453,167.2840909090909,168.44886363636363,168.67045454545453,164.48295454545453,161.1306818181818,163.75,165.89204545454547
Antigua and Barbuda,103.28068181818182,105.5,107.72045454545454,109.96022727272728,112.20681818181818,114.48636363636363,116.77727272727272,119.10113636363636,121.49318181818182,123.92159090909092,126.37045454545456,128.5,130.30795454545455,132.13181818181818,134.1375,136.29545454545453,138.40795454545454,140.53977272727272,142.74772727272727,145.0431818181818,146.6534090909091,147.11136363636365,146.85227272727272,146.23181818181817,145.58749999999998,145.08863636363637,144.91363636363636,145.14204545454547,145.54204545454544,146.0772727272727,146.6193181818182,146.96477272727273,147.23863636363637,147.5772727272727,147.46022727272725,146.79772727272726,146.08295454545456,145.3318181818182,144.5965909090909,143.9215909090909,143.33295454545456,144.06136363636364,146.37386363636364,149.06136363636364,151.91477272727272,154.97386363636363,158.20795454545456,161.4840909090909,164.57386363636363,167.42386363636365,170.25454545454545,172.8840909090909,175.07272727272726,177.0090909090909,178.90795454545454,180.93295454545452,183.1909090909091,185.6909090909091,188.43636363636364,191.30227272727276,193.91022727272727,196.2090909090909,198.3181818181818,200.1465909090909,201.7386363636364,203.2022727272727,204.475,205.6090909090909,206.65,207.6443181818182,208.7409090909091,209.8840909090909,211.0,212.08068181818183,213.11704545454543
